X,Y
44,62
5,27
7,90
70,7
100,1
59,12
28,21
56,34
81,57
92,13
66,61
66,2
24,25
97,62
36,88
76,77
11,89
99,85
90,4
11,33
40,57
42,95
60,57
83,51
100,56
19,72
92,71
87,87
96,45
4,70
67,17
100,70
88,64
39,86
29,50
41,26
49,34
79,65
81,80
79,31
5,10
39,97
87,14
42,34
50,41
50,71
56,39
68,32
35,38
65,26
34,80
26,88
45,41
97,8
44,42
56,21
38,41
27,54
12,78
79,26
2,94
100,63
60,81
63,50
61,61
35,23
19,2
60,12
25,55
79,33
54,38
45,63
91,85
2,23
4,63
77,100
79,55
28,35
86,88
69,2
47,10
9,94
11,10
22,22
87,75
57,53
88,81
88,18
19,74
54,15
39,42
23,48
71,71
63,28
43,96
74,69
33,100
76,85
67,76
21,6
46,85
34,81
86,89
75,95
12,13
14,16
65,16
69,53
19,94
19,2
43,89
19,94
16,66
22,7
5,68
41,29
66,64
48,35
72,26
85,19
6,23
47,69
96,36
98,22
77,98
21,89
14,32
9,48
48,97
17,14
36,66
36,82
76,85
51,8
27,57
96,35
2,54
71,51
31,77
46,40
28,19
42,48
49,16
9,68
46,6
27,12
81,6
3,89
12,95
46,22
72,30
63,11
8,96
8,55
13,4
98,84
76,34
100,80
17,18
98,27
59,98
48,5
89,12
22,76
45,74
91,25
36,50
41,90
6,88
82,90
100,85
69,43
67,20
76,100
45,11
2,51
38,4
65,76
47,30
87,96
51,14
10,33
66,64
35,85
69,87
59,38
100,6
65,41
37,31
11,55
64,38
33,71
38,18
62,59
57,72
58,62
67,52
11,60
86,49
30,24
42,10
61,86
51,18
1,38
98,68
23,90
36,61
19,17
85,31
41,96
18,96
6,66
17,79
16,44
19,62
77,18
77,2
60,83
100,23
44,50
46,50
16,8
95,81
46,8
42,6
78,14
31,25
77,13
5,6
48,35
9,86
47,35
21,88
75,62
81,75
17,77
22,75
44,76
24,59
23,96
69,47
23,39
21,36
50,85
46,57
30,35
33,10
1,65
82,22
82,75
5,86
71,23
98,38
61,66
87,60
17,7
38,19
13,100
33,16
38,47
37,13
2,35
30,18
53,43
40,88
68,67
82,73
70,16
50,43
13,50
37,24
47,5
100,17
24,99
9,13
3,15
78,69
6,12
49,61
34,16
48,53
95,34
68,33
81,79
35,25
36,100
65,92
56,37
91,28
57,79
51,25
74,10
80,69
51,28
21,87
55,76
14,67
97,82
61,15
9,23
12,84
27,48
85,13
9,35
98,1
84,3
39,10
67,10
3,11
4,87
40,51
73,55
22,82
25,17
37,4
52,95
65,88
37,37
33,65
26,80
94,29
44,25
17,49
26,40
55,34
89,88
45,41
69,92
26,12
20,88
66,42
63,85
13,19
95,44
9,27
41,14
74,62
27,71
17,26
56,71
44,38
49,95
17,66
42,26
12,100
27,37
99,100
89,71
27,96
71,13
23,77
93,33
66,67
44,19
68,74
48,92
87,28
63,74
22,10
34,27
98,96
59,67
78,30
54,12
15,57
82,100
13,84
79,88
38,97
19,96
50,44
11,93
41,13
92,75
50,60
5,89
77,11
89,10
72,1
3,94
87,76
22,88
36,65
5,45
31,14
37,4
68,71
46,44
28,68
86,28
89,53
17,58
75,86
86,73
55,9
65,97
41,67
9,43
21,22
96,66
77,5
74,18
90,76
88,42
39,81
1,31
6,69
90,15
5,94
16,34
4,2
43,56
50,60
52,1
11,17
7,9
79,98
49,63
83,5
60,17
92,29
93,91
33,15
11,99
59,51
47,62
40,18
78,8
72,87
13,44
77,81
90,89
85,25
86,78
2,93
97,81
66,37
75,70
56,69
62,40
40,87
4,50
88,16
22,2
88,43
93,43
31,45
15,47
73,6
31,28
68,67
75,79
75,41
6,96
10,98
48,100
16,53
100,95
40,93
32,7
74,22
71,22
39,39
58,28
18,78
36,50
84,16
31,32
64,11
7,21
80,100
88,84
96,13
13,20
45,63
22,61
48,15
42,10
4,45
11,6
7,18
77,80
53,85
85,65
87,15
75,57
96,16
28,98
97,12
41,48
36,73
21,19
16,83
75,54
20,32
94,4
1,77
40,79
70,68
12,77
15,9
25,63
11,58
23,87
78,71
16,71
5,53
52,95
83,69
51,48
30,82
48,23
24,50
40,52
27,59
27,15
3,88
64,64
60,99
92,65
8,80
47,45
89,30
92,28
61,4
90,37
85,46
25,17
91,1
17,39
36,36
4,8
51,33
10,25
76,37
33,92
91,45
53,41
38,35
20,16
11,75
46,14
45,23
30,19
89,74
71,3
16,14
25,89
90,9
96,72
57,42
47,73
83,14
68,68
74,11
29,52
81,27
55,21
45,2
53,38
92,88
76,65
60,63
77,65
72,54
84,54
73,75
93,46
86,50
35,33
8,44
81,85
96,49
87,7
100,6
55,50
35,62
17,47
48,61
49,12
77,18
44,50
77,54
80,12
65,44
95,65
13,70
12,98
90,53
87,87
13,74
77,47
12,98
8,19
43,90
17,28
67,4
41,41
62,83
4,19
44,80
94,71
73,36
34,93
44,84
30,64
40,10
38,65
10,66
88,61
80,54
24,30
27,72
69,67
89,6
18,3
100,74
51,44
87,1
88,28
27,30
69,86
95,82
55,63
12,87
66,64
3,51
25,61
19,59
90,71
14,4
55,8
39,7
65,8
51,9
56,18
83,10
55,100
9,48
13,27
6,17
88,81
11,66
61,64
55,39
2,29
90,100
95,93
92,23
74,90
3,11
98,78
86,33
95,9
81,84
51,79
63,82
83,68
20,47
57,72
47,13
27,42
78,92
89,90
80,63
10,8
68,42
17,5
38,52
99,64
22,36
99,26
60,68
34,70
91,70
17,91
14,40
5,55
85,44
77,3
31,1
12,18
23,32
9,62
85,33
14,46
43,76
48,43
64,2
4,41
91,100
90,93
97,75
48,69
51,48
98,80
30,99
95,46
6,26
76,56
7,100
97,40
9,77
3,76
46,35
46,17
83,14
91,86
72,12
33,32
88,94
12,96
100,44
80,29
100,22
65,97
77,22
36,7
5,79
10,63
27,38
31,12
52,28
73,92
77,21
27,74
38,13
11,48
79,92
2,31
25,7
53,95
44,52
25,32
59,49
95,43
23,54
86,50
50,80
18,91
95,78
57,9
97,42
50,47
58,31
8,50
30,70
23,61
10,100
72,7
74,44
36,38
76,72
34,99
15,60
20,69
76,74
73,7
20,46
5,1
58,25
72,70
22,8
17,70
5,66
68,51
36,42
54,69
16,83
37,97
69,54
98,44
88,5
15,34
1,72
80,4
42,31
56,48
36,59
19,89
95,21
68,48
93,8
42,59
86,72
27,18
59,18
20,22
43,35
9,14
62,19
95,50
94,25
40,20
94,1
92,39
62,43
54,39
44,57
98,98
22,63
55,24
58,31
89,38
7,39
10,11
35,86
95,83
58,33
73,69
32,78
35,71
91,19
4,31
7,16
25,51
14,44
74,85
97,26
67,34
24,61
26,4
23,100
5,62
93,58
74,52
86,26
22,27
12,58
21,85
39,31
79,42
12,21
74,17
78,92
84,29
2,41
73,47
61,27
6,95
18,36
12,5
74,67
43,42
48,29
8,22
92,79
2,60
43,96
62,13
52,93
65,21
5,65
99,81
34,42
11,41
69,87
36,47
70,9
40,24
44,52
17,53
6,21
63,42
44,39
16,73
24,57
43,13
9,79
11,18
37,44
64,95
6,99
65,65
32,94
4,19
45,26
57,41
13,60
26,71
15,45
100,99
86,30
33,17
57,66
96,32
41,100
34,24
96,3
97,59
91,12
8,29
47,35
92,77
8,78
42,41
16,19
23,55
27,36
70,95
100,2
30,13
18,31
13,18
67,61
13,99
67,20
30,34
100,37
74,25
26,52
73,22
67,53
34,36
20,62
81,13
94,61
58,14
75,39
75,10
35,51
8,91
74,67
70,70
56,95
71,63
50,75
58,98
67,69
52,33
84,79
15,78
49,79
18,74
57,98
65,96
72,3
93,92
27,75
29,11
100,17
4,41
72,23
19,5
4,29
17,99
19,52
33,62
41,28
38,45
86,99
86,38
34,61
29,73
60,97
24,57
23,92
27,42
97,53
44,51
73,48
13,99
69,78
61,41
54,82
54,65
73,30
12,7
25,87
89,57
66,17
4,52
36,49
63,69
67,57
85,38
58,47
7,54
14,20
24,95
4,23
11,74
52,75
65,96
100,59
58,8
7,29
16,38
58,24
36,7
74,71
24,38
75,3
63,60
35,21
80,18
2,69
66,75
78,66
81,49
44,68
86,49
24,42
50,31
3,70
87,39
69,33
7,83
61,61
21,52
95,54
77,91
15,25
98,25
61,32
25,20
61,37
43,73
23,66
7,36
3,70
60,25
55,89
32,56
83,98
1,70
36,31
16,29
11,39
56,79
23,89
100,66
48,24
94,54
73,22
81,39
26,97
71,50
85,26
17,94
98,3
70,64
1,15
33,8
97,96
86,65
57,90
87,6
17,36
82,68
14,60
77,29
15,12
45,6
70,26
100,39
43,71
36,67
49,16
30,62
16,72
97,62
38,24
98,58
38,76
45,11
31,5
6,28
61,5
51,63
62,60
24,89
94,44
21,47
30,16
33,90
100,76
98,52
90,85
84,100
47,50
2,45
29,91
1,52
76,99
17,20
57,41
60,50
11,17
99,28
39,70
75,86
65,54
47,51
43,80
20,80
56,35
22,84
8,70
18,61
94,99
79,25
85,64
68,96
21,39
9,80
3,23
21,85
31,58
9,43
39,95
67,77
24,13
4,5
85,2
32,86
32,39
1,23
94,61
76,39
86,12
40,3
32,58
12,61
20,79
69,5
64,15
88,5
96,33
33,6
55,96
94,69
94,6
73,78
8,77
30,18
23,91
23,10
31,7
95,38
53,43
9,1
57,28
16,17
59,59
67,45
42,89
55,86
39,5
53,83
85,96
8,6
29,13
65,73
84,79
28,39
43,72
66,16
61,10
14,72
80,64
5,15
95,34
22,97
93,44
48,6
14,2
49,36
47,57
54,81
95,3
20,55
80,35
28,11
39,71
42,88
44,69
52,89
99,35
3,95
68,70
22,92
33,24
70,95
65,84
44,18
36,27
40,36
89,3
26,58
96,46
48,20
17,87
42,78
28,45
28,92
61,89
70,92
28,19
87,86
72,87
46,29
14,92
24,27
23,67
27,8
8,55
86,51
54,9
98,57
6,5
79,27
35,92
81,6
73,75
62,89
14,91
45,40
100,39
53,33
51,57
47,44
77,85
45,26
14,65
18,29
86,8
36,38
23,77
74,89
88,35
58,70
91,97
2,44
41,28
5,34
69,42
53,52
55,91
8,93
67,48
28,98
43,75
41,45
28,6
94,29
72,82
27,12
16,4
13,15
47,55
66,8
66,49
72,70
92,3
20,3
12,43
100,83
60,77
98,67
37,65
61,27
63,52
65,80
85,90
29,74
39,71
98,31
54,81
40,56
50,73
59,81
14,19
89,62
17,82
84,51
43,31
92,17
9,9
50,71
35,4
9,29
76,43
28,74
35,48
3,16
39,53
98,94
62,48
77,37
51,78
20,57
82,80
76,20
59,37
83,70
21,75
67,42
84,41
89,27
35,40
12,24
3,100
1,8
22,66
28,19
43,67
46,62
83,66
51,25
95,93
4,31
13,96
97,92
64,38
51,98
2,29
46,60
71,70
75,24
10,5
41,98
11,51
34,46
75,3
4,3
14,96
54,36
23,70
96,14
51,22
2,35
16,60
10,21
17,96
17,6
60,7
67,53
66,68
67,62
98,39
80,21
57,100
14,21
34,99
47,4
86,34
74,74
89,23
23,61
65,25
50,30
44,87
25,60
25,89
90,97
90,49
32,39
81,81
6,17
14,60
3,35
94,87
62,64
97,26
85,18
83,53
87,19
70,10
65,16
87,22
4,40
43,99
23,82
23,68
55,50
32,64
28,17
18,63
47,77
18,77
10,58
9,74
86,77
20,72
78,89
99,75
90,88
19,27
27,66
33,12
4,55
89,21
2,40
80,10
17,96
7,94
64,65
32,61
98,35
91,14
13,5
91,22
93,66
95,88
28,94
19,55
74,33
79,22
83,13
29,99
63,24
28,2
9,42
58,11
15,12
93,22
100,93
79,48
99,16
22,68
23,70
70,56
72,80
31,72
35,95
94,26
67,97
72,45
51,64
49,36
97,63
91,29
48,75
21,40
95,89
29,83
39,33
53,39
21,52
9,33
97,98
35,73
54,87
2,7
40,94
60,17
91,22
70,22
87,21
46,29
87,39
32,67
30,27
84,64
42,27
14,35
79,85
74,96
54,69
43,81
56,32
33,13
27,80
76,16
82,48
2,37
85,84
25,87
9,58
69,37
55,43
71,57
75,43
29,33
10,26
94,77
9,75
99,77
68,34
53,9
38,24
38,1
20,48
64,46
34,91
51,55
43,35
75,86
65,93
11,92
41,39
99,98
14,19
61,82
99,95
62,97
32,83
71,62
76,45
94,17
81,46
53,40
15,92
30,14
96,28
53,61
8,30
4,84
34,77
67,79
82,68
44,84
33,93
10,82
57,98
82,14
95,88
95,87
48,81
28,30
51,84
10,66
85,73
88,41
6,77
50,95
18,78
37,46
20,75
16,51
80,50
23,35
54,100
1,23
37,34
100,86
36,73
42,95
76,22
94,16
3,57
100,26
99,64
25,16
84,38
29,67
70,81
23,11
92,43
75,26
80,42
87,66
63,73
71,92
59,24
7,53
33,78
60,70
76,17
14,99
16,58
8,38
100,32
14,24
83,59
40,99
18,55
97,66
53,70
58,43
62,35
83,92
88,39
31,71
82,22
21,8
38,68
71,95
11,100
100,15
75,99
10,17
76,2
4,21
20,100
60,9
34,85
7,54
94,94
85,38
86,87
93,4
61,32
50,82
79,34
35,33
12,73
63,72
59,73
48,39
39,11
83,18
90,48
20,22
15,23
66,50
69,96
97,50
51,67
69,53
35,43
5,43
27,76
83,53
3,70
92,19
35,38
26,36
44,66
33,82
20,90
85,86
6,88
18,48
13,33
9,27
13,19
97,69
33,81
41,48
72,67
34,67
10,19
40,98
78,28
98,39
8,41
12,49
41,48
93,60
31,36
78,70
38,67
31,22
88,66
88,63
29,33
14,88
13,100
81,14
28,88
3,47
44,33
68,46
87,29
35,35
74,18
53,75
9,79
25,80
24,86
67,35
3,9
40,96
16,6
42,34
74,27
65,81
86,53
1,69
67,78
14,2
94,63
13,62
86,14
2,62
23,35
55,19
10,64
86,60
92,78
43,14
75,43
2,83
89,69
59,66
26,36
25,63
16,31
4,82
63,75
24,53
27,42
59,84
37,46
96,23
51,83
38,57
87,57
47,6
62,38
48,33
26,12
35,40
78,96
96,23
40,9
92,15
3,91
65,47
24,82
3,95
67,62
42,62
18,80
51,84
70,88
58,5
51,14
67,35
86,43
63,73
80,42
18,28
28,75
12,75
74,26
81,62
60,26
24,8
63,14
46,36
66,12
56,81
88,76
65,37
100,57
17,63
92,9
62,63
86,1
84,66
92,50
34,68
74,91
91,42
33,9
34,15
3,42
77,58
27,60
45,73
75,24
7,49
57,33
29,19
92,76
35,27
3,81
99,92
91,85
95,30
99,11
9,42
48,7
86,16
3,52
15,58
39,94
41,71
56,32
41,82
78,90
77,94
91,9
57,17
65,67
81,100
57,25
99,1
88,69
89,90
43,39
36,4
28,95
14,46
56,71
22,91
83,69
98,93
97,42
71,96
60,32
77,76
22,46
38,2
59,60
56,90
98,82
54,65
33,54
37,19
61,91
55,91
97,56
100,18
86,86
25,92
91,30
22,11
57,31
27,93
30,72
85,84
17,1
48,24
85,32
56,58
73,76
11,67
72,94
81,43
60,9
7,78
79,78
40,5
98,78
65,31
28,40
61,56
78,29
63,27
49,40
45,54
88,56
26,25
48,26
80,32
29,99
83,9
26,88
83,1
15,16
42,80
58,41
64,9
5,47
20,6
38,50
1,89
50,81
31,46
6,27
34,62
98,63
48,4
79,31
62,50
75,18
11,31
41,90
78,20
5,100
95,15
14,83
4,63
24,22
12,86
60,51
10,71
59,99
18,38
13,75
68,21
61,85
55,40
62,32
93,62
96,65
16,66
42,11
84,82
68,1
32,92
54,42
62,59
91,60
25,46
15,86
16,89
86,79
5,92
26,19
48,48
23,4
35,58
9,89
72,23
12,27
100,53
11,34
26,53
17,81
17,96
91,88
59,57
80,67
71,59
6,2
96,52
50,23
63,23
32,21
60,26
45,49
23,25
27,32
19,7
46,43
69,61
53,47
70,15
16,64
49,99
12,17
58,60
13,48
55,22
35,19
43,27
36,20
20,40
86,28
51,19
94,46
81,30
53,96
67,85
70,6
32,43
29,64
85,57
14,11
78,91
37,15
97,88
19,61
74,36
17,90
11,55
75,81
10,58
42,91
97,70
94,12
62,39
77,62
19,50
71,42
26,23
77,39
65,49
66,92
20,95
78,87
100,47
44,43
9,17
2,31
1,48
94,7
12,56
81,77
55,78
8,50
8,18
43,29
17,47
95,42
3,34
33,70
9,57
54,65
27,85
19,53
88,98
73,78
88,63
56,76
33,64
34,6
27,63
87,95
16,24
95,36
59,49
65,23
78,16
19,77
70,84
43,32
30,80
86,15
97,6
8,39
30,24
57,53
23,27
14,24
68,73
29,68
71,5
41,72
6,32
93,77
3,55
61,5
9,24
76,77
41,72
27,90
11,45
35,10
46,27
22,28
25,29
34,31
53,14
51,13
58,91
74,52
76,85
83,61
19,97
81,31
33,79
5,93
44,47
63,42
95,63
77,61
46,41
47,40
67,23
17,11
78,98
25,90
78,80
21,68
64,43
31,87
7,99
34,2
43,31
38,65
50,58
30,91
46,62
81,20
19,60
49,75
59,57
15,25
88,64
46,95
27,38
63,79
69,30
75,97
45,91
21,69
75,45
61,58
63,17
63,76
41,95
56,81
33,91
30,79
1,28
57,33
67,94
45,69
61,15
2,71
27,69
50,5
9,10
37,64
37,48
32,74
21,74
46,8
4,87
64,81
23,59
95,97
51,40
72,14
31,45
70,62
8,34
51,16
30,87
40,96
94,76
63,87
93,99
