#,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
173,218,50,25,28,45,55,15,2,FALSE
174,210,90,30,15,40,20,15,2,FALSE
175,245,35,20,65,40,65,20,2,FALSE
176,405,55,40,85,80,105,40,2,FALSE
177,320,40,50,45,70,45,70,2,FALSE
178,470,65,75,70,95,70,95,2,FALSE
179,280,55,40,40,65,45,35,2,FALSE
180,365,70,55,55,80,60,45,2,FALSE
181,510,90,75,85,115,90,55,2,FALSE
181,610,90,95,105,165,110,45,2,FALSE
182,490,75,80,95,90,100,50,2,FALSE
183,250,70,20,50,20,50,40,2,FALSE
184,420,100,50,80,60,80,50,2,FALSE
185,410,70,100,115,30,65,30,2,FALSE
186,500,90,75,75,90,100,70,2,FALSE
187,250,35,35,40,35,55,50,2,FALSE
188,340,55,45,50,45,65,80,2,FALSE
189,460,75,55,70,55,95,110,2,FALSE
190,360,55,70,55,40,55,85,2,FALSE
191,180,30,30,30,30,30,30,2,FALSE
192,425,75,75,55,105,85,30,2,FALSE
193,390,65,65,45,75,45,95,2,FALSE
194,210,55,45,45,25,25,15,2,FALSE
195,430,95,85,85,65,65,35,2,FALSE
196,525,65,65,60,130,95,110,2,FALSE
197,525,95,65,110,60,130,65,2,FALSE
198,405,60,85,42,85,42,91,2,FALSE
199,490,95,75,80,100,110,30,2,FALSE
200,435,60,60,60,85,85,85,2,FALSE
201,336,48,72,48,72,48,48,2,FALSE
202,405,190,33,58,33,58,33,2,FALSE
203,455,70,80,65,90,65,85,2,FALSE
204,290,50,65,90,35,35,15,2,FALSE
205,465,75,90,140,60,60,40,2,FALSE
206,415,100,70,70,65,65,45,2,FALSE
207,430,65,75,105,35,65,85,2,FALSE
208,510,75,85,200,55,65,30,2,FALSE
208,610,75,125,230,55,95,30,2,FALSE
209,300,60,80,50,40,40,30,2,FALSE
210,450,90,120,75,60,60,45,2,FALSE
211,430,65,95,75,55,55,85,2,FALSE
212,500,70,130,100,55,80,65,2,FALSE
212,600,70,150,140,65,100,75,2,FALSE
213,505,20,10,230,10,230,5,2,FALSE
214,500,80,125,75,40,95,85,2,FALSE
214,600,80,185,115,40,105,75,2,FALSE
215,430,55,95,55,35,75,115,2,FALSE
216,330,60,80,50,50,50,40,2,FALSE
217,500,90,130,75,75,75,55,2,FALSE
218,250,40,40,40,70,40,20,2,FALSE
219,410,50,50,120,80,80,30,2,FALSE
220,250,50,50,40,30,30,50,2,FALSE
221,450,100,100,80,60,60,50,2,FALSE
222,380,55,55,85,65,85,35,2,FALSE
223,300,35,65,35,65,35,65,2,FALSE
224,480,75,105,75,105,75,45,2,FALSE
225,330,45,55,45,65,45,75,2,FALSE
226,465,65,40,70,80,140,70,2,FALSE
227,465,65,80,140,40,70,70,2,FALSE
228,330,45,60,30,80,50,65,2,FALSE
229,500,75,90,50,110,80,95,2,FALSE
229,600,75,90,90,140,90,115,2,FALSE
230,540,75,95,95,95,95,85,2,FALSE
231,330,90,60,60,40,40,40,2,FALSE
232,500,90,120,120,60,60,50,2,FALSE
233,515,85,80,90,105,95,60,2,FALSE
234,465,73,95,62,85,65,85,2,FALSE
235,250,55,20,35,20,45,75,2,FALSE
236,210,35,35,35,35,35,35,2,FALSE
237,455,50,95,95,35,110,70,2,FALSE
238,305,45,30,15,85,65,65,2,FALSE
239,360,45,63,37,65,55,95,2,FALSE
240,365,45,75,37,70,55,83,2,FALSE
241,490,95,80,105,40,70,100,2,FALSE
242,540,255,10,10,75,135,55,2,FALSE
243,580,90,85,75,115,100,115,2,TRUE
244,580,115,115,85,90,75,100,2,TRUE
245,580,100,75,115,90,115,85,2,TRUE
246,300,50,64,50,45,50,41,2,FALSE
247,410,70,84,70,65,70,51,2,FALSE
248,600,100,134,110,95,100,61,2,FALSE
248,700,100,164,150,95,120,71,2,FALSE
249,680,106,90,130,90,154,110,2,TRUE
250,680,106,130,90,110,154,90,2,TRUE
251,600,100,100,100,100,100,100,2,FALSE
252,310,40,45,35,65,55,70,3,FALSE
253,405,50,65,45,85,65,95,3,FALSE
254,530,70,85,65,105,85,120,3,FALSE
254,630,70,110,75,145,85,145,3,FALSE
255,310,45,60,40,70,50,45,3,FALSE
256,405,60,85,60,85,60,55,3,FALSE
257,530,80,120,70,110,70,80,3,FALSE
257,630,80,160,80,130,80,100,3,FALSE
258,310,50,70,50,50,50,40,3,FALSE
259,405,70,85,70,60,70,50,3,FALSE
260,535,100,110,90,85,90,60,3,FALSE
260,635,100,150,110,95,110,70,3,FALSE
261,220,35,55,35,30,30,35,3,FALSE
262,420,70,90,70,60,60,70,3,FALSE
263,240,38,30,41,30,41,60,3,FALSE
264,420,78,70,61,50,61,100,3,FALSE
265,195,45,45,35,20,30,20,3,FALSE
266,205,50,35,55,25,25,15,3,FALSE
267,395,60,70,50,100,50,65,3,FALSE
268,205,50,35,55,25,25,15,3,FALSE
269,385,60,50,70,50,90,65,3,FALSE
270,220,40,30,30,40,50,30,3,FALSE
271,340,60,50,50,60,70,50,3,FALSE
272,480,80,70,70,90,100,70,3,FALSE
273,220,40,40,50,30,30,30,3,FALSE
274,340,70,70,40,60,40,60,3,FALSE
275,480,90,100,60,90,60,80,3,FALSE
276,270,40,55,30,30,30,85,3,FALSE
277,430,60,85,60,50,50,125,3,FALSE
278,270,40,30,30,55,30,85,3,FALSE
279,430,60,50,100,85,70,65,3,FALSE
280,198,28,25,25,45,35,40,3,FALSE
281,278,38,35,35,65,55,50,3,FALSE
282,518,68,65,65,125,115,80,3,FALSE
282,618,68,85,65,165,135,100,3,FALSE
283,269,40,30,32,50,52,65,3,FALSE
284,414,70,60,62,80,82,60,3,FALSE
285,295,60,40,60,40,60,35,3,FALSE
286,460,60,130,80,60,60,70,3,FALSE
287,280,60,60,60,35,35,30,3,FALSE
288,440,80,80,80,55,55,90,3,FALSE
289,670,150,160,100,95,65,100,3,FALSE
290,266,31,45,90,30,30,40,3,FALSE
291,456,61,90,45,50,50,160,3,FALSE
292,236,1,90,45,30,30,40,3,FALSE
293,240,64,51,23,51,23,28,3,FALSE
294,360,84,71,43,71,43,48,3,FALSE
295,490,104,91,63,91,73,68,3,FALSE
296,237,72,60,30,20,30,25,3,FALSE
297,474,144,120,60,40,60,50,3,FALSE
298,190,50,20,40,20,40,20,3,FALSE
299,375,30,45,135,45,90,30,3,FALSE
300,260,50,45,45,35,35,50,3,FALSE
301,380,70,65,65,55,55,70,3,FALSE
302,380,50,75,75,65,65,50,3,FALSE
302,480,50,85,125,85,115,20,3,FALSE
303,380,50,85,85,55,55,50,3,FALSE
303,480,50,105,125,55,95,50,3,FALSE
304,330,50,70,100,40,40,30,3,FALSE
305,430,60,90,140,50,50,40,3,FALSE
306,530,70,110,180,60,60,50,3,FALSE
306,630,70,140,230,60,80,50,3,FALSE
307,280,30,40,55,40,55,60,3,FALSE
308,410,60,60,75,60,75,80,3,FALSE
308,510,60,100,85,80,85,100,3,FALSE
309,295,40,45,40,65,40,65,3,FALSE
310,475,70,75,60,105,60,105,3,FALSE
310,575,70,75,80,135,80,135,3,FALSE
311,405,60,50,40,85,75,95,3,FALSE
312,405,60,40,50,75,85,95,3,FALSE
313,400,65,73,55,47,75,85,3,FALSE
314,400,65,47,55,73,75,85,3,FALSE
315,400,50,60,45,100,80,65,3,FALSE
316,302,70,43,53,43,53,40,3,FALSE
317,467,100,73,83,73,83,55,3,FALSE
318,305,45,90,20,65,20,65,3,FALSE
319,460,70,120,40,95,40,95,3,FALSE
319,560,70,140,70,110,65,105,3,FALSE
320,400,130,70,35,70,35,60,3,FALSE
321,500,170,90,45,90,45,60,3,FALSE
322,305,60,60,40,65,45,35,3,FALSE
323,460,70,100,70,105,75,40,3,FALSE
323,560,70,120,100,145,105,20,3,FALSE
324,470,70,85,140,85,70,20,3,FALSE
325,330,60,25,35,70,80,60,3,FALSE
326,470,80,45,65,90,110,80,3,FALSE
327,360,60,60,60,60,60,60,3,FALSE
328,290,45,100,45,45,45,10,3,FALSE
329,340,50,70,50,50,50,70,3,FALSE
330,520,80,100,80,80,80,100,3,FALSE
331,335,50,85,40,85,40,35,3,FALSE
332,475,70,115,60,115,60,55,3,FALSE
333,310,45,40,60,40,75,50,3,FALSE
334,490,75,70,90,70,105,80,3,FALSE
334,590,75,110,110,110,105,80,3,FALSE
335,458,73,115,60,60,60,90,3,FALSE
336,458,73,100,60,100,60,65,3,FALSE
337,440,70,55,65,95,85,70,3,FALSE
338,440,70,95,85,55,65,70,3,FALSE
339,288,50,48,43,46,41,60,3,FALSE
340,468,110,78,73,76,71,60,3,FALSE
341,308,43,80,65,50,35,35,3,FALSE
342,468,63,120,85,90,55,55,3,FALSE
343,300,40,40,55,40,70,55,3,FALSE
344,500,60,70,105,70,120,75,3,FALSE
345,355,66,41,77,61,87,23,3,FALSE
346,495,86,81,97,81,107,43,3,FALSE
347,355,45,95,50,40,50,75,3,FALSE
348,495,75,125,100,70,80,45,3,FALSE
349,200,20,15,20,10,55,80,3,FALSE
350,540,95,60,79,100,125,81,3,FALSE
351,420,70,70,70,70,70,70,3,FALSE
352,440,60,90,70,60,120,40,3,FALSE
353,295,44,75,35,63,33,45,3,FALSE
354,455,64,115,65,83,63,65,3,FALSE
354,555,64,165,75,93,83,75,3,FALSE
355,295,20,40,90,30,90,25,3,FALSE
356,455,40,70,130,60,130,25,3,FALSE
357,460,99,68,83,72,87,51,3,FALSE
358,425,65,50,70,95,80,65,3,FALSE
359,465,65,130,60,75,60,75,3,FALSE
359,565,65,150,60,115,60,115,3,FALSE
360,260,95,23,48,23,48,23,3,FALSE
361,300,50,50,50,50,50,50,3,FALSE
362,480,80,80,80,80,80,80,3,FALSE
362,580,80,120,80,120,80,100,3,FALSE
363,290,70,40,50,55,50,25,3,FALSE
364,410,90,60,70,75,70,45,3,FALSE
365,530,110,80,90,95,90,65,3,FALSE
366,345,35,64,85,74,55,32,3,FALSE
367,485,55,104,105,94,75,52,3,FALSE
368,485,55,84,105,114,75,52,3,FALSE
369,485,100,90,130,45,65,55,3,FALSE
370,330,43,30,55,40,65,97,3,FALSE
371,300,45,75,60,40,30,50,3,FALSE
372,420,65,95,100,60,50,50,3,FALSE
373,600,95,135,80,110,80,100,3,FALSE
373,700,95,145,130,120,90,120,3,FALSE
374,300,40,55,80,35,60,30,3,FALSE
375,420,60,75,100,55,80,50,3,FALSE
376,600,80,135,130,95,90,70,3,FALSE
376,700,80,145,150,105,110,110,3,FALSE
377,580,80,100,200,50,100,50,3,TRUE
378,580,80,50,100,100,200,50,3,TRUE
379,580,80,75,150,75,150,50,3,TRUE
380,600,80,80,90,110,130,110,3,TRUE
380,700,80,100,120,140,150,110,3,TRUE
381,600,80,90,80,130,110,110,3,TRUE
381,700,80,130,100,160,120,110,3,TRUE
382,670,100,100,90,150,140,90,3,TRUE
382,770,100,150,90,180,160,90,3,TRUE
383,670,100,150,140,100,90,90,3,TRUE
383,770,100,180,160,150,90,90,3,TRUE
384,680,105,150,90,150,90,95,3,TRUE
384,780,105,180,100,180,100,115,3,TRUE
385,600,100,100,100,100,100,100,3,TRUE
386,600,50,150,50,150,50,150,3,TRUE
386,600,50,180,20,180,20,150,3,TRUE
386,600,50,70,160,70,160,90,3,TRUE
386,600,50,95,90,95,90,180,3,TRUE
387,318,55,68,64,45,55,31,4,FALSE
388,405,75,89,85,55,65,36,4,FALSE
389,525,95,109,105,75,85,56,4,FALSE
390,309,44,58,44,58,44,61,4,FALSE
391,405,64,78,52,78,52,81,4,FALSE
392,534,76,104,71,104,71,108,4,FALSE
393,314,53,51,53,61,56,40,4,FALSE
394,405,64,66,68,81,76,50,4,FALSE
395,530,84,86,88,111,101,60,4,FALSE
396,245,40,55,30,30,30,60,4,FALSE
397,340,55,75,50,40,40,80,4,FALSE
398,485,85,120,70,50,60,100,4,FALSE
399,250,59,45,40,35,40,31,4,FALSE
400,410,79,85,60,55,60,71,4,FALSE
401,194,37,25,41,25,41,25,4,FALSE
402,384,77,85,51,55,51,65,4,FALSE
403,263,45,65,34,40,34,45,4,FALSE
404,363,60,85,49,60,49,60,4,FALSE
405,523,80,120,79,95,79,70,4,FALSE
406,280,40,30,35,50,70,55,4,FALSE
407,515,60,70,65,125,105,90,4,FALSE
408,350,67,125,40,30,30,58,4,FALSE
409,495,97,165,60,65,50,58,4,FALSE
410,350,30,42,118,42,88,30,4,FALSE
411,495,60,52,168,47,138,30,4,FALSE
412,224,40,29,45,29,45,36,4,FALSE
413,424,60,59,85,79,105,36,4,FALSE
413,424,60,79,105,59,85,36,4,FALSE
413,424,60,69,95,69,95,36,4,FALSE
414,424,70,94,50,94,50,66,4,FALSE
415,244,30,30,42,30,42,70,4,FALSE
416,474,70,80,102,80,102,40,4,FALSE
417,405,60,45,70,45,90,95,4,FALSE
418,330,55,65,35,60,30,85,4,FALSE
419,495,85,105,55,85,50,115,4,FALSE
420,275,45,35,45,62,53,35,4,FALSE
421,450,70,60,70,87,78,85,4,FALSE
422,325,76,48,48,57,62,34,4,FALSE
423,475,111,83,68,92,82,39,4,FALSE
424,482,75,100,66,60,66,115,4,FALSE
425,348,90,50,34,60,44,70,4,FALSE
426,498,150,80,44,90,54,80,4,FALSE
427,350,55,66,44,44,56,85,4,FALSE
428,480,65,76,84,54,96,105,4,FALSE
428,580,65,136,94,54,96,135,4,FALSE
429,495,60,60,60,105,105,105,4,FALSE
430,505,100,125,52,105,52,71,4,FALSE
431,310,49,55,42,42,37,85,4,FALSE
432,452,71,82,64,64,59,112,4,FALSE
433,285,45,30,50,65,50,45,4,FALSE
434,329,63,63,47,41,41,74,4,FALSE
435,479,103,93,67,71,61,84,4,FALSE
436,300,57,24,86,24,86,23,4,FALSE
437,500,67,89,116,79,116,33,4,FALSE
438,290,50,80,95,10,45,10,4,FALSE
439,310,20,25,45,70,90,60,4,FALSE
440,220,100,5,5,15,65,30,4,FALSE
441,411,76,65,45,92,42,91,4,FALSE
442,485,50,92,108,92,108,35,4,FALSE
443,300,58,70,45,40,45,42,4,FALSE
444,410,68,90,65,50,55,82,4,FALSE
445,600,108,130,95,80,85,102,4,FALSE
445,700,108,170,115,120,95,92,4,FALSE
446,390,135,85,40,40,85,5,4,FALSE
447,285,40,70,40,35,40,60,4,FALSE
448,525,70,110,70,115,70,90,4,FALSE
448,625,70,145,88,140,70,112,4,FALSE
449,330,68,72,78,38,42,32,4,FALSE
450,525,108,112,118,68,72,47,4,FALSE
451,330,40,50,90,30,55,65,4,FALSE
452,500,70,90,110,60,75,95,4,FALSE
453,300,48,61,40,61,40,50,4,FALSE
454,490,83,106,65,86,65,85,4,FALSE
455,454,74,100,72,90,72,46,4,FALSE
456,330,49,49,56,49,61,66,4,FALSE
457,460,69,69,76,69,86,91,4,FALSE
458,345,45,20,50,60,120,50,4,FALSE
459,334,60,62,50,62,60,40,4,FALSE
460,494,90,92,75,92,85,60,4,FALSE
460,594,90,132,105,132,105,30,4,FALSE
461,510,70,120,65,45,85,125,4,FALSE
462,535,70,70,115,130,90,60,4,FALSE
463,515,110,85,95,80,95,50,4,FALSE
464,535,115,140,130,55,55,40,4,FALSE
465,535,100,100,125,110,50,50,4,FALSE
466,540,75,123,67,95,85,95,4,FALSE
467,540,75,95,67,125,95,83,4,FALSE
468,545,85,50,95,120,115,80,4,FALSE
469,515,86,76,86,116,56,95,4,FALSE
470,525,65,110,130,60,65,95,4,FALSE
471,525,65,60,110,130,95,65,4,FALSE
472,510,75,95,125,45,75,95,4,FALSE
473,530,110,130,80,70,60,80,4,FALSE
474,535,85,80,70,135,75,90,4,FALSE
475,518,68,125,65,65,115,80,4,FALSE
475,618,68,165,95,65,115,110,4,FALSE
476,525,60,55,145,75,150,40,4,FALSE
477,525,45,100,135,65,135,45,4,FALSE
478,480,70,80,70,80,70,110,4,FALSE
479,440,50,50,77,95,77,91,4,FALSE
479,520,50,65,107,105,107,86,4,FALSE
479,520,50,65,107,105,107,86,4,FALSE
479,520,50,65,107,105,107,86,4,FALSE
479,520,50,65,107,105,107,86,4,FALSE
479,520,50,65,107,105,107,86,4,FALSE
480,580,75,75,130,75,130,95,4,TRUE
481,580,80,105,105,105,105,80,4,TRUE
482,580,75,125,70,125,70,115,4,TRUE
483,680,100,120,120,150,100,90,4,TRUE
484,680,90,120,100,150,120,100,4,TRUE
485,600,91,90,106,130,106,77,4,TRUE
486,670,110,160,110,80,110,100,4,TRUE
487,680,150,100,120,100,120,90,4,TRUE
487,680,150,120,100,120,100,90,4,TRUE
488,600,120,70,120,75,130,85,4,FALSE
489,480,80,80,80,80,80,80,4,FALSE
490,600,100,100,100,100,100,100,4,FALSE
491,600,70,90,90,135,90,125,4,TRUE
492,600,100,100,100,100,100,100,4,TRUE
492,600,100,103,75,120,75,127,4,TRUE
493,720,120,120,120,120,120,120,4,TRUE
494,600,100,100,100,100,100,100,5,TRUE
495,308,45,45,55,45,55,63,5,FALSE
496,413,60,60,75,60,75,83,5,FALSE
497,528,75,75,95,75,95,113,5,FALSE
498,308,65,63,45,45,45,45,5,FALSE
499,418,90,93,55,70,55,55,5,FALSE
500,528,110,123,65,100,65,65,5,FALSE
501,308,55,55,45,63,45,45,5,FALSE
502,413,75,75,60,83,60,60,5,FALSE
503,528,95,100,85,108,70,70,5,FALSE
504,255,45,55,39,35,39,42,5,FALSE
505,420,60,85,69,60,69,77,5,FALSE
506,275,45,60,45,25,45,55,5,FALSE
507,370,65,80,65,35,65,60,5,FALSE
508,500,85,110,90,45,90,80,5,FALSE
509,281,41,50,37,50,37,66,5,FALSE
510,446,64,88,50,88,50,106,5,FALSE
511,316,50,53,48,53,48,64,5,FALSE
512,498,75,98,63,98,63,101,5,FALSE
513,316,50,53,48,53,48,64,5,FALSE
514,498,75,98,63,98,63,101,5,FALSE
515,316,50,53,48,53,48,64,5,FALSE
516,498,75,98,63,98,63,101,5,FALSE
517,292,76,25,45,67,55,24,5,FALSE
518,487,116,55,85,107,95,29,5,FALSE
519,264,50,55,50,36,30,43,5,FALSE
520,358,62,77,62,50,42,65,5,FALSE
521,488,80,115,80,65,55,93,5,FALSE
522,295,45,60,32,50,32,76,5,FALSE
523,497,75,100,63,80,63,116,5,FALSE
524,280,55,75,85,25,25,15,5,FALSE
525,390,70,105,105,50,40,20,5,FALSE
526,515,85,135,130,60,80,25,5,FALSE
527,313,55,45,43,55,43,72,5,FALSE
528,425,67,57,55,77,55,114,5,FALSE
529,328,60,85,40,30,45,68,5,FALSE
530,508,110,135,60,50,65,88,5,FALSE
531,445,103,60,86,60,86,50,5,FALSE
531,545,103,60,126,80,126,50,5,FALSE
532,305,75,80,55,25,35,35,5,FALSE
533,405,85,105,85,40,50,40,5,FALSE
534,505,105,140,95,55,65,45,5,FALSE
535,294,50,50,40,50,40,64,5,FALSE
536,384,75,65,55,65,55,69,5,FALSE
537,509,105,95,75,85,75,74,5,FALSE
538,465,120,100,85,30,85,45,5,FALSE
539,465,75,125,75,30,75,85,5,FALSE
540,310,45,53,70,40,60,42,5,FALSE
541,380,55,63,90,50,80,42,5,FALSE
542,500,75,103,80,70,80,92,5,FALSE
543,260,30,45,59,30,39,57,5,FALSE
