X,Y,Z
95,92,61
96,13,34
71,5,53
9,70,29
98,28,19
84,6,34
6,58,67
15,9,61
66,53,58
28,60,23
61,78,83
14,89,67
70,87,84
66,81,22
100,69,33
24,55,72
53,53,37
36,36,74
78,52,10
50,90,84
50,15,11
42,4,69
78,59,76
63,96,66
86,3,29
43,59,18
64,12,4
80,65,99
14,36,46
14,46,16
71,33,7
85,28,81
82,73,32
28,11,31
53,42,84
71,6,40
30,96,52
78,84,62
97,41,51
78,10,49
72,8,10
32,85,85
62,94,77
73,92,86
19,18,84
87,32,49
77,38,13
11,27,65
14,29,83
38,51,53
97,44,11
86,4,25
64,71,53
46,67,24
42,27,74
12,88,25
11,17,80
64,4,82
33,51,52
33,43,22
17,94,28
8,40,47
21,69,21
93,59,29
54,11,23
22,64,31
60,31,37
70,48,62
52,45,1
91,25,17
48,16,36
50,61,99
65,66,16
1,10,85
74,83,93
49,75,73
77,59,36
20,73,12
88,49,58
76,57,94
35,51,27
80,2,34
87,13,4
97,39,5
39,97,94
90,60,100
89,61,59
46,64,55
47,9,84
42,44,71
8,58,63
48,7,97
68,58,62
53,49,60
23,69,54
42,78,20
22,95,39
89,92,3
92,13,15
4,4,36
12,95,83
88,14,56
82,84,70
8,12,77
87,58,92
80,4,38
45,90,48
88,88,34
88,84,83
29,58,10
49,31,71
3,42,72
6,39,73
69,80,57
42,15,17
59,70,19
85,55,35
65,28,82
75,37,62
99,79,17
77,2,100
63,12,28
57,64,42
27,52,79
37,90,34
2,59,10
56,30,59
98,97,16
91,26,30
62,99,82
33,36,30
80,74,48
9,48,88
26,15,44
86,92,26
19,93,2
9,32,31
36,31,62
27,17,77
92,2,79
26,30,62
75,42,90
7,37,46
32,24,45
74,80,28
3,5,36
55,68,7
45,23,71
33,59,27
77,38,20
89,95,87
98,58,30
63,6,80
88,11,42
37,94,4
28,12,68
26,14,81
23,86,38
88,48,54
12,86,32
18,55,93
32,10,52
61,52,80
11,82,44
10,24,36
44,46,38
13,5,51
86,16,83
4,86,81
81,73,13
62,66,83
98,28,81
95,23,18
13,78,75
53,12,56
30,69,42
3,92,28
20,51,2
98,9,89
57,37,85
32,85,61
31,35,63
20,42,52
7,14,6
34,4,60
50,14,10
21,90,22
60,99,45
76,83,81
32,30,37
77,76,94
37,54,17
98,31,59
10,97,48
39,81,93
88,94,3
73,19,1
62,2,44
6,23,56
21,88,67
56,36,50
14,57,57
39,57,23
68,68,62
43,82,20
89,13,23
89,35,26
85,85,26
57,97,92
21,86,56
19,26,6
71,24,23
87,10,7
23,69,51
45,40,41
68,18,9
60,90,37
40,60,48
4,77,96
68,50,77
94,23,74
78,59,56
87,52,98
37,47,98
28,84,90
66,82,61
47,91,21
38,90,58
25,28,42
51,10,26
87,29,100
40,57,25
53,79,51
51,79,50
89,84,46
94,53,83
9,82,1
51,3,12
18,56,76
19,27,34
39,63,33
84,48,75
63,64,10
34,34,50
32,26,100
97,86,99
37,15,21
28,30,53
99,81,21
67,43,36
79,63,61
79,4,49
99,88,61
99,82,69
68,43,37
92,27,9
74,29,93
73,93,9
8,85,83
96,5,18
92,78,48
42,51,26
25,3,92
17,27,22
7,33,13
61,43,65
41,18,67
16,3,75
21,46,73
57,82,24
50,40,64
19,34,94
18,16,43
50,91,56
97,58,51
22,20,57
94,30,2
74,96,19
56,78,14
82,23,64
49,41,96
7,31,3
1,77,22
21,30,97
41,38,16
21,89,47
68,29,53
92,93,19
22,68,26
96,38,89
44,53,65
65,83,32
1,63,57
9,98,84
5,35,2
3,71,29
55,2,93
100,50,69
49,89,80
53,6,65
52,10,12
85,24,51
49,79,18
93,53,71
82,26,94
63,13,64
47,58,11
30,20,95
33,96,47
23,12,81
13,50,34
26,98,85
28,96,44
96,3,86
67,29,12
25,75,7
14,73,33
92,44,93
85,65,20
91,60,72
58,49,53
1,46,70
6,77,3
38,72,15
85,96,4
70,89,7
9,72,63
48,35,18
30,21,98
98,35,35
21,28,84
53,25,84
93,89,17
28,27,85
53,27,72
46,6,79
77,27,32
80,79,87
28,6,40
28,4,92
88,2,6
47,71,40
38,74,16
36,66,33
28,15,11
49,89,28
98,2,54
66,4,72
46,7,87
4,10,7
85,20,91
91,45,89
64,42,22
10,31,91
65,65,6
53,3,44
10,25,48
23,18,61
89,69,6
55,19,41
69,84,60
1,89,64
94,67,65
15,78,88
5,13,26
6,91,79
93,15,72
19,41,45
98,27,7
32,28,6
72,81,35
6,75,57
95,24,52
89,43,53
4,29,42
90,12,95
89,6,4
70,35,55
96,50,42
25,16,69
9,34,53
87,14,100
98,16,71
30,18,94
69,34,56
35,80,57
8,58,91
27,23,85
32,56,90
93,39,59
22,30,80
4,40,36
49,70,92
72,21,80
59,48,31
69,26,44
58,69,79
42,39,29
60,6,37
39,19,93
61,80,46
21,72,51
96,14,92
96,13,51
62,59,38
54,44,69
94,46,45
18,26,46
37,50,43
23,29,90
13,6,24
41,28,45
22,93,56
23,88,62
57,72,49
8,53,37
35,60,9
14,55,55
12,41,49
93,19,52
77,54,58
38,87,2
17,17,30
50,6,43
16,82,13
92,66,59
80,29,13
9,63,61
48,67,22
67,83,64
46,100,2
88,96,53
23,31,82
73,48,6
19,81,19
30,72,49
81,26,58
13,80,77
30,7,18
28,14,79
15,6,89
92,57,73
27,62,43
1,92,11
14,6,13
44,15,34
55,75,83
43,97,9
11,43,38
47,72,61
48,16,39
2,70,38
9,56,24
24,80,91
30,7,38
64,78,5
13,53,9
61,38,9
90,38,88
76,19,21
6,61,44
85,5,23
52,56,55
9,30,53
90,88,55
21,93,68
7,79,89
85,46,91
69,37,55
24,91,21
99,55,30
89,49,38
18,79,74
6,7,32
97,8,87
78,43,94
32,88,67
20,36,85
81,77,51
1,71,17
91,93,99
34,3,22
83,62,52
62,21,86
64,9,5
87,65,62
99,46,77
20,29,56
35,89,61
90,8,23
28,47,83
63,93,86
19,62,10
37,4,53
67,17,94
11,34,23
75,11,88
71,70,57
59,75,62
46,82,56
45,1,28
12,46,43
60,40,58
73,2,19
56,72,85
77,60,70
39,27,52
29,97,86
8,14,99
98,46,29
60,59,6
15,19,36
89,56,86
62,42,66
53,78,6
60,85,98
96,70,10
44,5,94
48,36,87
86,83,77
4,14,30
27,42,34
82,45,42
66,36,17
61,1,13
61,4,27
68,58,65
38,20,81
41,76,70
94,49,53
5,80,42
36,7,47
58,31,62
94,90,82
8,19,40
46,18,52
49,40,72
94,10,23
81,5,65
30,33,95
77,25,19
9,35,99
39,11,65
70,18,52
89,35,5
74,14,52
27,93,20
86,60,7
20,32,88
24,22,62
98,42,2
86,14,55
2,46,43
54,23,34
64,33,74
50,39,39
15,93,18
89,74,65
35,76,21
20,35,11
40,27,55
70,51,26
4,83,57
80,73,93
77,95,53
43,76,42
34,99,18
53,100,62
30,81,82
93,10,32
77,55,34
77,39,30
51,79,99
9,74,70
31,72,41
62,14,88
77,77,70
70,26,3
49,10,58
25,74,78
18,31,48
56,8,88
8,33,3
39,34,95
86,96,41
54,85,72
32,75,88
5,76,46
11,53,6
3,54,88
29,86,1
19,91,8
26,65,25
96,62,99
75,53,58
39,38,30
27,59,78
44,26,80
95,41,51
29,8,45
69,47,92
46,63,92
47,54,81
81,64,37
87,22,10
65,89,58
80,59,40
69,90,90
16,17,22
10,43,95
32,77,89
58,44,50
96,61,65
69,21,46
29,19,78
52,74,2
61,87,10
17,78,19
82,7,46
20,94,35
73,13,94
38,59,54
93,3,41
54,7,22
1,4,11
91,2,39
19,40,90
93,74,5
62,22,44
21,85,18
86,72,85
70,21,20
24,97,94
26,5,67
82,39,97
24,18,10
14,58,67
11,62,24
87,3,11
63,7,1
81,5,37
37,92,43
83,86,72
70,7,9
61,68,20
82,49,97
92,68,66
68,98,100
26,87,2
3,98,48
49,66,10
34,12,27
32,6,46
28,82,69
74,97,78
43,57,69
60,86,9
80,97,100
14,38,23
88,76,57
71,37,83
34,22,85
92,64,82
73,91,87
11,68,100
67,80,79
32,18,47
92,38,61
18,46,66
33,78,24
98,39,33
56,58,28
23,85,59
14,19,36
36,1,81
58,40,27
45,25,47
90,3,91
84,57,99
99,82,45
2,26,59
49,57,77
74,66,80
35,11,39
31,91,18
68,29,12
14,43,96
41,60,33
53,45,74
49,36,4
73,4,43
33,90,39
80,60,19
39,90,16
17,81,82
4,1,36
54,22,40
49,56,29
62,26,63
6,44,2
67,41,63
91,96,17
93,77,13
92,73,45
57,77,43
54,92,58
91,83,21
21,51,20
64,49,29
54,10,81
16,68,70
93,11,95
96,7,5
73,12,64
68,11,91
5,12,94
22,28,47
46,79,53
69,12,12
64,93,4
42,83,94
62,11,47
86,9,94
80,85,91
23,21,19
40,94,48
35,98,20
41,91,58
95,83,21
7,72,71
43,100,88
51,64,95
28,63,100
7,54,15
44,96,49
25,20,64
69,15,6
36,67,48
44,7,22
10,29,45
13,69,37
93,27,79
31,76,34
41,25,86
69,47,97
59,32,95
39,82,85
47,17,26
85,56,40
33,11,78
4,32,48
44,75,52
97,76,89
91,33,3
72,49,20
7,78,51
73,15,88
75,37,7
85,56,28
30,44,22
52,86,26
86,38,11
79,33,52
32,41,99
97,24,28
2,54,35
21,34,39
59,14,62
67,56,41
26,34,36
19,80,8
40,52,31
36,29,8
65,98,67
50,99,41
100,73,19
68,47,84
33,34,13
51,33,61
11,72,34
12,46,68
40,24,31
68,26,22
58,48,73
84,13,46
37,67,97
19,39,93
55,11,80
80,4,19
94,82,1
58,32,46
29,70,48
91,84,34
15,77,92
48,68,1
72,73,10
34,11,6
96,59,40
92,56,18
16,63,32
14,52,15
79,44,2
9,50,93
30,90,92
4,1,16
83,42,86
22,97,4
15,13,19
36,81,68
22,61,85
51,34,96
8,48,98
23,95,83
87,10,63
45,82,97
88,88,79
40,57,60
51,53,46
20,49,62
1,41,37
56,71,67
52,5,48
100,58,16
11,20,65
10,41,56
20,60,8
57,8,66
84,69,43
28,84,23
82,32,22
43,100,6
68,75,5
98,99,38
74,33,71
47,91,5
88,63,72
59,9,45
21,70,62
30,16,70
78,30,75
5,72,51
1,97,68
90,69,69
80,94,67
63,6,42
29,76,83
49,96,47
70,62,76
74,62,66
31,14,95
32,40,37
18,64,48
10,49,54
67,15,46
10,16,3
65,54,17
32,50,22
72,55,26
75,79,68
33,81,55
65,90,89
91,64,81
44,29,83
39,88,4
40,15,42
87,97,37
25,36,19
91,32,98
63,29,26
36,83,20
91,92,69
82,17,33
42,46,38
65,1,95
22,3,63
67,79,47
40,32,53
59,84,38
63,47,2
43,76,22
13,66,45
70,62,70
47,28,85
70,51,78
16,54,87
32,50,62
66,39,75
12,52,32
95,92,61
69,51,66
96,84,54
1,12,78
85,44,75
21,36,87
32,51,97
86,25,28
71,97,24
39,24,45
25,33,51
22,54,62
13,3,3
38,75,84
2,80,67
74,24,95
14,19,16
43,12,86
83,32,86
27,47,22
15,31,4
53,20,58
38,16,82
5,30,5
27,30,89
96,22,45
2,13,13
7,90,98
2,77,17
49,43,6
34,8,39
86,50,60
7,42,17
87,45,12
75,40,32
92,84,4
85,18,83
49,10,76
35,34,47
48,51,18
85,97,95
90,4,90
20,79,45
91,33,38
62,52,83
53,73,31
35,77,8
63,40,83
99,33,22
86,48,7
63,36,18
59,62,61
34,73,56
27,83,72
51,13,95
55,60,7
81,93,20
19,19,79
58,97,99
27,32,62
6,37,98
44,18,90
69,54,69
71,96,79
25,67,21
69,39,41
34,31,10
53,89,53
63,86,71
4,40,92
85,20,45
96,97,96
99,95,5
76,24,25
83,32,34
82,38,31
76,80,85
33,85,39
95,14,10
82,19,79
64,35,77
24,18,50
23,70,70
60,79,13
77,20,93
29,70,14
69,48,5
75,100,18
20,82,100
50,94,4
75,86,77
5,72,62
33,15,31
69,91,18
45,77,12
49,100,45
71,90,95
89,66,65
48,40,95
24,26,42
54,16,70
27,84,65
9,2,25
90,33,70
34,23,100
35,25,13
22,83,34
59,39,75
48,52,59
13,41,84
66,28,68
23,54,14
64,79,71
87,55,5
87,41,65
91,70,88
95,60,35
47,58,51
38,1,67
29,87,90
28,46,82
80,19,40
2,88,33
95,99,18
9,17,55
66,63,72
17,1,63
98,74,15
68,91,24
35,2,62
36,40,11
34,61,87
23,89,93
99,49,25
53,84,69
5,22,64
28,38,83
58,54,5
61,97,78
22,57,32
86,56,71
80,37,69
88,88,33
96,17,85
73,47,58
75,14,78
49,11,4
90,47,18
53,59,87
20,5,44
38,56,54
66,43,8
63,25,74
72,18,11
88,70,79
58,41,37
63,4,16
33,1,44
5,56,45
80,41,26
55,4,16
83,56,81
97,99,84
56,12,7
55,12,81
14,77,95
66,41,70
70,100,60
92,46,35
1,26,73
70,21,73
13,79,1
79,2,100
48,58,25
48,50,85
23,22,8
25,25,74
66,78,6
46,81,75
26,96,21
97,91,19
68,46,51
82,100,58
71,36,20
83,53,92
44,41,54
80,20,37
97,2,18
52,92,5
72,28,99
58,100,83
69,49,32
24,70,11
80,96,9
57,75,86
45,99,29
68,76,32
23,34,5
35,95,20
13,7,24
24,74,40
57,6,80
14,95,30
23,4,5
83,88,70
35,85,64
25,9,43
100,42,29
88,97,73
12,62,85
23,5,31
29,17,57
33,7,76
66,82,26
90,68,19
40,24,15
79,58,13
83,10,86
38,84,52
88,44,15
68,32,47
76,52,26
21,22,32
25,92,12
74,14,29
37,74,67
51,96,27
23,23,22
86,83,43
8,80,51
84,48,17
21,18,54
28,63,66
68,4,10
66,56,58
42,34,85
10,6,32
85,40,68
8,96,16
28,99,84
4,77,70
46,33,30
8,45,42
92,70,60
1,90,1
28,12,43
32,33,56
3,98,86
68,81,46
44,92,90
89,71,42
89,16,4
1,54,47
27,16,49
37,71,97
97,81,67
14,40,100
69,66,76
59,41,9
4,23,36
33,75,26
85,21,61
17,57,6
43,40,42
16,63,49
6,16,18
87,100,22
89,3,20
6,98,84
62,5,60
83,100,42
40,61,88
55,49,7
7,28,50
11,34,1
20,10,15
85,17,24
75,75,20
93,96,13
87,65,32
16,22,56
83,32,65
85,94,27
52,91,28
73,65,70
4,80,77
64,42,89
54,37,36
51,42,82
1,32,66
50,85,99
74,12,16
15,68,94
38,45,83
41,92,20
1,60,52
19,65,29
27,67,88
89,76,11
71,65,44
45,15,30
19,52,44
36,75,58
49,20,35
62,73,6
26,16,13
33,80,80
81,48,91
1,98,85
11,84,1
19,6,32
22,20,51
56,2,25
19,25,43
66,64,98
36,72,100
16,80,79
12,58,45
92,50,74
78,87,86
36,62,58
24,82,75
48,33,75
14,36,42
26,95,20
32,16,86
98,28,64
22,63,83
30,38,7
79,10,32
93,24,19
91,73,77
84,31,97
87,76,92
38,88,68
21,57,17
85,73,10
72,77,66
37,8,27
95,72,47
32,26,44
75,58,70
14,39,65
86,52,76
57,5,40
21,62,23
79,24,21
93,85,18
81,56,91
27,39,14
93,81,81
73,41,63
2,50,46
59,23,63
97,92,68
31,74,23
30,92,57
17,11,59
53,73,15
59,36,35
27,3,63
51,1,71
98,48,5
95,98,81
52,10,92
3,13,8
60,74,3
8,90,44
11,91,82
78,100,1
68,93,18
15,75,21
37,43,6
22,24,30
24,82,31
79,60,62
69,7,94
80,89,29
67,5,25
67,71,97
3,100,25
69,96,84
47,73,61
87,31,49
48,46,80
81,10,96
11,90,39
43,90,2
75,100,23
94,29,82
1,69,19
37,31,71
65,83,37
52,36,44
66,93,67
12,28,21
30,34,53
59,57,46
77,48,67
38,84,80
16,7,16
6,76,81
73,98,20
64,65,63
44,43,46
56,54,34
57,40,25
2,38,61
6,57,61
25,70,89
78,76,94
68,64,7
55,85,95
86,61,45
35,52,93
78,58,77
28,74,60
24,76,26
97,95,85
11,37,56
38,5,55
98,96,34
76,19,48
70,74,13
4,70,50
78,43,37
48,36,42
51,25,7
37,87,16
85,76,36
83,18,84
1,68,66
24,13,43
75,42,95
46,82,75
21,84,97
58,95,100
4,48,63
88,21,61
64,36,62
55,28,63
39,81,13
28,6,74
37,65,75
25,82,68
9,78,77
56,7,30
81,72,94
63,51,20
26,8,30
50,82,97
11,58,89
22,88,91
87,83,77
14,91,93
39,81,86
74,18,72
11,94,17
67,36,84
46,93,84
73,91,87
68,19,96
58,64,59
8,61,42
46,68,73
81,61,87
62,80,85
69,30,9
61,95,37
85,15,57
45,99,21
73,76,58
73,65,24
21,19,59
52,66,96
91,81,23
41,50,68
57,76,85
85,95,19
20,24,71
60,97,31
81,25,96
11,85,69
46,40,32
39,89,33
6,10,24
90,79,47
80,37,80
59,82,39
49,93,93
96,22,83
13,39,19
92,38,52
16,17,42
3,27,31
55,57,79
44,83,96
37,75,2
68,75,17
83,65,57
1,97,9
83,65,3
34,91,68
73,20,77
78,36,63
16,81,1
38,17,73
38,4,89
27,95,25
40,1,34
89,5,13
30,27,65
77,21,56
40,39,63
69,76,45
31,20,22
50,51,72
33,42,30
12,21,47
85,78,94
89,63,57
49,2,33
48,100,29
40,64,54
20,9,80
37,61,38
37,86,8
12,80,54
29,52,54
72,34,53
8,70,76
87,54,5
35,25,87
16,72,33
60,66,85
74,37,10
23,10,89
51,79,89
65,38,9
98,59,87
7,44,32
10,14,47
7,97,18
74,12,28
29,14,31
79,22,36
48,47,65
95,56,16
47,16,30
54,28,95
99,30,4
15,59,82
63,54,79
2,89,64
31,13,13
74,46,7
23,1,39
30,28,77
27,30,96
37,1,67
91,19,57
74,99,37
12,32,77
73,79,35
19,41,92
87,66,53
19,18,64
74,29,30
53,10,42
28,4,23
64,74,10
22,75,1
61,41,24
96,20,66
86,8,2
4,77,65
74,43,77
97,48,95
28,10,4
96,76,7
82,41,2
71,26,82
39,89,21
32,88,69
10,100,87
17,76,87
30,16,22
90,81,73
43,80,76
51,72,19
82,99,63
73,92,60
27,75,21
25,28,70
3,88,16
80,17,32
76,15,8
36,99,16
7,41,36
53,34,27
87,62,98
88,78,39
25,4,100
93,37,38
26,28,11
83,85,13
1,5,3
76,21,7
50,77,84
99,13,39
36,8,68
88,18,95
54,15,92
78,22,36
4,55,44
31,77,16
18,36,83
61,14,38
65,100,48
80,43,70
81,56,59
82,32,34
23,44,49
15,79,33
82,96,51
23,62,90
70,42,39
65,9,98
74,39,62
27,70,18
29,72,92
49,50,9
72,49,58
36,13,46
38,11,13
69,69,20
77,8,29
23,13,1
10,12,90
1,24,64
60,77,89
29,43,72
22,79,58
84,16,46
77,70,65
25,12,61
30,31,20
11,47,22
96,87,46
84,8,82
12,66,97
100,34,92
79,9,91
28,86,72
100,50,41
49,51,31
25,66,38
53,7,21
85,21,32
38,55,8
97,40,65
99,79,74
51,1,6
78,63,10
18,62,74
38,82,53
45,37,55
32,92,85
30,35,79
25,48,31
72,9,74
75,48,82
95,58,49
16,73,4
42,49,85
34,24,86
88,7,15
52,94,40
9,49,82
65,92,69
17,70,34
64,42,60
84,38,58
36,56,17
32,33,42
4,62,6
64,87,24
94,70,47
15,12,44
32,93,20
6,52,59
24,61,12
67,50,62
77,82,8
87,3,90
91,73,17
17,7,17
79,33,63
41,3,25
57,58,74
20,87,97
79,39,58
30,53,51
14,97,59
73,61,59
20,42,43
35,44,80
41,96,80
77,66,26
67,37,5
41,67,42
10,76,88
65,29,48
74,76,12
39,52,27
1,24,73
23,85,17
83,11,57
68,16,59
77,53,30
96,30,8
28,51,2
69,53,70
55,65,20
5,4,81
73,71,71
59,40,43
60,30,24
87,51,56
19,65,40
89,79,96
43,75,34
13,59,16
57,60,66
30,95,18
99,91,76
4,13,3
51,18,85
48,22,54
60,18,37
60,85,66
84,2,77
12,44,84
65,66,30
49,68,43
74,4,61
8,10,66
29,91,40
38,58,92
3,30,56
17,51,76
19,64,63
86,92,1
21,69,67
18,47,73
11,29,60
89,81,26
88,66,21
17,67,52
9,83,58
51,90,31
8,28,28
18,54,61
51,16,4
53,33,6
4,81,70
23,9,98
15,90,61
80,75,54
57,67,39
100,79,83
23,100,27
13,16,16
52,74,8
70,91,37
